,imageURL,movieId,title,type,typeId,imdbRank,cast,releaseYear,duration,genres,cast1,cast2
1963,"{'height': 960, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNGUyYmFmODUtYTQwMy00YzE2LWJmZjQtMzNlMWU1OGQ2NGYxXkEyXkFqcGdeQXVyNjQ4Nzg0NTE@._V1_.jpg', 'width': 678}",tt5038448,Bruce Lee - The Fighter,feature,movie,48048.0,"Ram Charan, Rakul Preet Singh",2015.0,,"Action, Comedy",Ram Charan, Rakul Preet Singh
1964,"{'height': 1617, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjA4MDc3MTQ3NV5BMl5BanBnXkFtZTcwNDU4MDc5MQ@@._V1_.jpg', 'width': 1200}",tt1059455,Li Xiao Long chuan qi,TV series,tvSeries,43252.0,"Danny Kwok-Kwan Chan, Ted Duran",2008.0,2008-2008,"Action, Biography, Drama",Danny Kwok-Kwan Chan, Ted Duran
1967,"{'height': 823, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmRlZDM5OTMtZmUwNS00MTY4LWFmYzItYjRiZGY0MmM0MmJkXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg', 'width': 656}",tt26699538,Samajavaragamana,feature,movie,78024.0,"Vennela Kishore, Reba Monica John",2023.0,,"Comedy, Drama, Family",Vennela Kishore, Reba Monica John
1968,,tt17158644,Samajavaragamana,TV mini-series,tvMiniSeries,501368.0,"Mounika Reddy, Pavan Siddhu",2022.0,,Drama,Mounika Reddy, Pavan Siddhu
1969,"{'height': 393, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmJjYWU5MjAtOGRjNy00ODFmLWE5MjItZDAzNDMyZmU4ZjI5XkEyXkFqcGdeQXVyMTMyMTM0Mzcz._V1_.jpg', 'width': 743}",tt11842864,Sid Sriram: Samajavaragamana (Version 2),musicVideo,musicVideo,368059.0,"Pooja Hegde, Allu Arjun",2020.0,,Music,Pooja Hegde, Allu Arjun
1970,"{'height': 1600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODM2MDA1YjItYzRkNC00YTMzLTliMGQtMWE5OTlhZDlhZmJjXkEyXkFqcGdeQXVyMTM0MTY1MjMx._V1_.jpg', 'width': 1600}",tt15039550,Samajavaragamana,short,short,1242052.0,Vijay,2020.0,,"Short, Sport",Vijay,
1971,"{'height': 1080, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGE5NDE4NjctMTA3ZC00YzNlLWJlZDAtOGRjODVjODQ1NzVhXkEyXkFqcGdeQXVyNDg0MzAwMjc@._V1_.jpg', 'width': 1920}",tt5240712,Samaja Varagamana,video,video,1600939.0,"Resmi Narayanan, Navaneeth Varma",2012.0,,"Short, Music",Resmi Narayanan, Navaneeth Varma
1972,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMDI4YWY3MTMtNWVhNi00Y2JiLTgyZjctYjdhMTQ5NjNlNGIzXkEyXkFqcGdeQXVyNzIwMzE1NzU@._V1_.jpg', 'width': 1828}",tt11051410,Sid Sriram: Samajavaragamana,musicVideo,musicVideo,2372442.0,"Sid Sriram, Allu Arjun",2019.0,,Music,Sid Sriram, Allu Arjun
1974,"{'height': 1560, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzk2ZmE2ODAtZjYwYi00OGY1LWIyNGMtODdkMjkyY2JkZDM3XkEyXkFqcGdeQXVyMjUwMzU2Mjc@._V1_.jpg', 'width': 1080}",tt6728424,Majavien valtakunta,TV movie,tvMovie,1382854.0,Tuomo Holopainen,2016.0,,Documentary,Tuomo Holopainen,
1975,"{'height': 1091, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzQ3YzkyMjEtNGFmYi00Y2QzLTg4NjItODMzNWQ0NzBiYWEzXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg', 'width': 676}",tt8333978,Maharshi,feature,movie,16795.0,"Mahesh Babu, Allari Naresh",2019.0,,"Action, Drama",Mahesh Babu, Allari Naresh
1977,"{'height': 720, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWI2ZDVkMTUtNDA2NS00NDk4LTg2NTEtNjZjMDU1NWUwNWZjXkEyXkFqcGdeQXVyNTAwNzgzODA@._V1_.jpg', 'width': 1280}",tt0251814,Maharshi,feature,movie,237429.0,"Maharshi Raghava, Shanti Priya",1988.0,,Romance,Maharshi Raghava, Shanti Priya
1978,,tt14252596,Maharshi,feature,movie,666052.0,"Amaranath Aradhya, Priyanka Chandra",2008.0,,Drama,Amaranath Aradhya, Priyanka Chandra
1983,"{'height': 463, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZjBjNzEwYTItNThlNi00MGE0LWIyNmEtOTJlZGZmOTlhNmU2XkEyXkFqcGdeQXVyNjkwMTM4NjQ@._V1_.jpg', 'width': 318}",tt1616533,Bendu Apparao RMP,feature,movie,137490.0,"Allari Naresh, Kamna Jethmalani",2009.0,,Comedy,Allari Naresh, Kamna Jethmalani
1984,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjM3ODY3Njc5Ml5BMl5BanBnXkFtZTgwMjQ5NjM5MTI@._V1_.jpg', 'width': 1382}",tt1972591,King Arthur: Legend of the Sword,feature,movie,1952.0,"Charlie Hunnam, Astrid Bergès-Frisbey",2017.0,,"Action, Adventure, Drama, Fantasy",Charlie Hunnam, Astrid Bergès-Frisbey
1985,"{'height': 1199, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTgyNmE3MWYtYTAzZS00YzA5LTk5MGYtNzdkNWUwYTA5NTJhXkEyXkFqcGdeQXVyNjEyMTkyNzM@._V1_.jpg', 'width': 799}",tt4829524,Ofrenda para Ofelia,short,short,2228294.0,Sara Manni,2014.0,,"Short, Mystery",Sara Manni,
1986,"{'height': 1687, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYWU5MGFhY2QtNDg2MC00MjExLWFiOTktOTkwMjI5ZjhlMzM0XkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_.jpg', 'width': 1349}",tt19723342,Delivery by Christmas,feature,movie,255374.0,"Monika Frajczyk, Piotr Pacek",2022.0,,"Comedy, Romance",Monika Frajczyk, Piotr Pacek
1991,"{'height': 755, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg', 'width': 511}",tt0145487,Spider-Man,feature,movie,807.0,"Tobey Maguire, Kirsten Dunst",2002.0,,"Action, Adventure, Sci-Fi",Tobey Maguire, Kirsten Dunst
1992,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWQxMjcwNjItZjI0ZC00ZTc4LWIwMzItM2Q0YTZhNzI3NzdlXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg', 'width': 706}",tt2705436,Italian Spiderman,short,short,41029.0,"David Ashby, Chris Asimos",2007.0,,"Short, Action, Comedy",David Ashby, Chris Asimos
1994,"{'height': 960, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjA2NmZhOGEtZTQ5OS00MDI0LTg4N2UtYTRmOTllM2I2NDlhXkEyXkFqcGdeQXVyNTU4OTE5Nzc@._V1_.jpg', 'width': 679}",tt12122034,Spiderman the Verse,TV mini-series,tvMiniSeries,75058.0,"Brandon Glasco, Joshua Gray",2019.0,,Action,Brandon Glasco, Joshua Gray
1995,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_.jpg', 'width': 1381}",tt0948470,The Amazing Spider-Man,feature,movie,1214.0,"Andrew Garfield, Emma Stone",2012.0,,"Action, Adventure, Sci-Fi",Andrew Garfield, Emma Stone
1996,"{'height': 4000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg', 'width': 2699}",tt10872600,Spider-Man: No Way Home,feature,movie,425.0,"Tom Holland, Zendaya",2021.0,,"Action, Adventure, Fantasy, Sci-Fi",Tom Holland, Zendaya
1997,"{'height': 1426, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMmQ1NzBlYmItNmZkZi00OTZkLTg5YTEtNTI5YjczZjk3Yjc1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg', 'width': 1000}",tt0112175,Spider-Man: The Animated Series,TV series,tvSeries,4668.0,"Christopher Daniel Barnes, Sara Ballantine",1994.0,1994-1998,"Animation, Action, Adventure, Family, Sci-Fi",Christopher Daniel Barnes, Sara Ballantine
1999,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODhiZWRhMjctNDUyMS00NmUwLTgwYmItMjJhOWNkZWQ3ZTQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg', 'width': 2025}",tt1535109,Captain Phillips,feature,movie,714.0,"Tom Hanks, Barkhad Abdi",2013.0,,"Action, Biography, Crime, Drama, Thriller",Tom Hanks, Barkhad Abdi
2000,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjE5OTM0OTY5NF5BMl5BanBnXkFtZTgwMDcxOTQ3ODE@._V1_.jpg', 'width': 1382}",tt3553976,Captain Fantastic,feature,movie,1598.0,"Viggo Mortensen, George MacKay",2016.0,,"Comedy, Drama",Viggo Mortensen, George MacKay
2001,"{'height': 1609, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzZmYjE5ODctMzRhMy00ZWU4LWI5ZTItMjI2ZTlkOWViOTU3XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_.jpg', 'width': 1273}",tt22170036,Captain Miller,feature,movie,1738.0,"Dhanush, John Kokken",2024.0,,"Action, Adventure, Drama, Thriller",Dhanush, John Kokken
2003,"{'height': 1600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzAxMjg0NjYtNjNlOS00NTdlLThkMGEtMjAwYjk3NmNkOGFhXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg', 'width': 1125}",tt0458339,Captain America: The First Avenger,feature,movie,1338.0,"Chris Evans, Hugo Weaving",2011.0,,"Action, Adventure, Sci-Fi",Chris Evans, Hugo Weaving
2004,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_.jpg', 'width': 1382}",tt3498820,Captain America: Civil War,feature,movie,1925.0,"Chris Evans, Robert Downey Jr.",2016.0,,"Action, Sci-Fi",Chris Evans, Robert Downey Jr.
2005,"{'height': 2500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzMyN2I0NjMtYmZhZS00MWJkLWE1MTktNGM2ZDhmNDE1ZDc0XkEyXkFqcGdeQXVyNDg2NzE0MjE@._V1_.jpg', 'width': 1688}",tt1843866,Captain America: The Winter Soldier,feature,movie,2411.0,"Chris Evans, Samuel L. Jackson",2014.0,,"Action, Adventure, Sci-Fi, Thriller",Chris Evans, Samuel L. Jackson
2006,"{'height': 912, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjU5YTA5OGItYzFmZi00YmFjLWJjNWEtZTk0MjExMTFjYzE2XkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_.jpg', 'width': 608}",tt0436992,Doctor Who,TV series,tvSeries,121.0,"Jodie Whittaker, Peter Capaldi",2005.0,2005-2022,"Adventure, Drama, Sci-Fi",Jodie Whittaker, Peter Capaldi
2007,"{'height': 1351, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjMwNDNkMzEtNzRmNy00YmExLTg3ZWYtM2NjMjFjNWY3MmM0XkEyXkFqcGdeQXVyMTY0Njc2MTUx._V1_.jpg', 'width': 1080}",tt6470478,The Good Doctor,TV series,tvSeries,240.0,"Freddie Highmore, Richard Schiff",2017.0,2017-2024,Drama,Freddie Highmore, Richard Schiff
2008,"{'height': 2143, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTc4Zjg3ODktMTI5Zi00MjFmLTgzZDAtMGM5ODI3ZDNkYzM0XkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_.jpg', 'width': 1500}",tt27135274,Doctor Slump,TV series,tvSeries,792.0,"Park Hyung-sik, Park Shin-Hye",2024.0,2024-2024,"Comedy, Drama, Romance",Park Hyung-sik, Park Shin-Hye
2009,"{'height': 1620, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmNjMjhkYzItNjZhYy00ZDgwLThlMjYtZTc5Y2ZiZjY3ZGRkXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_.jpg', 'width': 1080}",tt0056751,Doctor Who,TV series,tvSeries,1051.0,"William Hartnell, Patrick Troughton",1963.0,1963-1989,"Adventure, Drama, Family, Sci-Fi",William Hartnell, Patrick Troughton
2010,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmY3NGJlYTItYmQ4OS00ZTEwLWIzODItMjMzNWU2MDE0NjZhXkEyXkFqcGdeQXVyMzQzMDA3MTI@._V1_.jpg', 'width': 1382}",tt5606664,Doctor Sleep,feature,movie,1124.0,"Ewan McGregor, Rebecca Ferguson",2019.0,,"Drama, Fantasy, Horror, Thriller",Ewan McGregor, Rebecca Ferguson
2011,"{'height': 2000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMWRhOWRiYjQtZjg3Yy00YTM2LTgxYzItMzkxMWU5NjcyMjZlXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg', 'width': 1611}",tt31433814,Doctor Who,TV series,tvSeries,2321.0,"Ncuti Gatwa, Millie Gibson",2023.0,,"Adventure, Drama, Sci-Fi",Ncuti Gatwa, Millie Gibson
2012,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjgwNzAzNjk1Nl5BMl5BanBnXkFtZTgwMzQ2NjI1OTE@._V1_.jpg', 'width': 1382}",tt1211837,Doctor Strange,feature,movie,2441.0,"Benedict Cumberbatch, Chiwetel Ejiofor",2016.0,,"Action, Adventure, Fantasy, Sci-Fi",Benedict Cumberbatch, Chiwetel Ejiofor
2013,"{'height': 2500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNWM0ZGJlMzMtZmYwMi00NzI3LTgzMzMtNjMzNjliNDRmZmFlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_.jpg', 'width': 1688}",tt9419884,Doctor Strange in the Multiverse of Madness,feature,movie,1374.0,"Benedict Cumberbatch, Elizabeth Olsen",2022.0,,"Action, Adventure, Fantasy, Horror, Sci-Fi",Benedict Cumberbatch, Elizabeth Olsen
2014,"{'height': 1193, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZTAxNDUwYjYtZTJhZC00NWY2LThkOTQtZTE4ODAzOTlkM2QzXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg', 'width': 1280}",tt0245911,Gang Leader,feature,movie,93689.0,"Chiranjeevi, Sravanthi Chokkarapu",1991.0,,"Action, Drama",Chiranjeevi, Sravanthi Chokkarapu
2015,"{'height': 1560, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGY4NzRmOTQtZmJlMS00MTI5LThhYmUtNDcxMGQxNzg2OWUzXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg', 'width': 1000}",tt9675464,Gang Leader,feature,movie,142792.0,"Nani, Kartikeya Gummakonda",2019.0,,"Action, Comedy, Thriller",Nani, Kartikeya Gummakonda
2016,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzY4NmFmNTUtY2U3Yi00ODY5LWIxNmMtN2ZkODFiYmQ3MmIyXkEyXkFqcGdeQXVyMTUwNzQzNzUz._V1_.jpg', 'width': 2000}",tt28254890,Mohankrishnas Gang Leader,feature,movie,747271.0,"Mohan Krishna, Harini",2023.0,,"Action, Family",Mohan Krishna, Harini
2019,"{'height': 1281, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWE4OTVlMDQtNWQ3Zi00ZTU5LTkxMjYtZjA5OTcyMjEyZjM0XkEyXkFqcGdeQXVyMjE4ODEzMjg@._V1_.jpg', 'width': 931}",tt0265489,El pandillero,feature,movie,2125412.0,"Germán Valdés, Virma González",1961.0,,Comedy,Germán Valdés, Virma González
2020,,tt0886672,Aaj Ka Gang Leader,feature,movie,1334976.0,"Bhanupriya, Chiranjeevi",1993.0,,Action,Bhanupriya, Chiranjeevi
2021,"{'height': 600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMDdjZmJlMGMtNzkwZS00ZWU2LWIyNjgtZWQ2MzNiYjFmMzEyXkEyXkFqcGdeQXVyMDQ0MTM1Nw@@._V1_.jpg', 'width': 590}",tt13059090,Gary Glitter & Girlschool: I'm the Leader of the Gang (I Am),musicVideo,musicVideo,1041409.0,"Gary Glitter, Girlschool",1986.0,,Music,Gary Glitter, Girlschool
2022,"{'height': 768, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BY2FjZjhlNmYtOGNhNC00NTM3LWE0MDUtN2ZhMzU0MGFmMzJjXkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_.jpg', 'width': 539}",tt1583256,Gamyam,feature,movie,86586.0,"Sharwanand, Allari Naresh",2008.0,,Drama,Sharwanand, Allari Naresh
2023,,tt1576393,Gamyam,feature,movie,429588.0,"Brahmanandam, Kota Srinivasa Rao",1998.0,,Family,Brahmanandam, Kota Srinivasa Rao
2028,"{'height': 915, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BM2YwZjc0ZDgtMzhiOS00ZjA4LWJmYzYtYWUwMDZjNmVkZTdmXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg', 'width': 733}",tt13105536,Gatham,feature,movie,98368.0,"Bhargava Poludasu, Rakesh Galebhe",2020.0,,Thriller,Bhargava Poludasu, Rakesh Galebhe
2029,"{'height': 2800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDZkZTRiOTktNDlhMS00YmI5LWI5OGEtNTMxNzg2NTllZTkzXkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_.jpg', 'width': 1900}",tt9784518,Samsam,feature,movie,100407.0,"Isaac Lobé-Lebel, Lior Chabbat",2019.0,,"Animation, Adventure, Family",Isaac Lobé-Lebel, Lior Chabbat
2030,"{'height': 872, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzg4YjIwZWItMzNiOC00YjUwLWE2OTYtNWE3MmY1NGQwMDdlXkEyXkFqcGdeQXVyMTYyNjAzOTUx._V1_.jpg', 'width': 535}",tt1637995,Sambo Siva Sambho,feature,movie,151874.0,"Ravi Teja, Allari Naresh",2010.0,,"Action, Drama",Ravi Teja, Allari Naresh
2038,"{'height': 900, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZTQxOWNjOGUtYWJmYS00OTBmLTk3NjctNjA5NTAwMDQxYmEzXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_.jpg', 'width': 635}",tt11773456,Naandhi,feature,movie,66199.0,"Allari Naresh, Varalaxmi Sarathkumar",2021.0,,"Crime, Drama, Thriller",Allari Naresh, Varalaxmi Sarathkumar
2040,"{'height': 2265, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjZiYmYwYjYtOTdlZS00OGM4LTg0NmQtOTg0OGMzMjkyYWM2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg', 'width': 1486}",tt0083987,Gandhi,feature,movie,2398.0,"Ben Kingsley, John Gielgud",1982.0,,"Biography, Drama, History",Ben Kingsley, John Gielgud
2042,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZjA1YzM4YzUtNDIyNC00NmUxLTlkZmEtN2YzZWM3YWViOGJmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 1110}",tt0178186,Aandhi,feature,movie,55270.0,"Suchitra Sen, Sanjeev Kumar",1975.0,,"Drama, Romance",Suchitra Sen, Sanjeev Kumar
2043,"{'height': 4500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjM4OTE5M2EtOTIzNS00MjdmLWJlMWItYjAzNTE2MGZiMWQ0XkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_.jpg', 'width': 3000}",tt15722614,Nandhi Varman,feature,movie,47992.0,"Suresh Ravi, Asha Gowda",2023.0,,Thriller,Suresh Ravi, Asha Gowda
2046,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDJlYzMyZTctYzBiMi00Y2E5LTk4YzgtNzU5YzE0MDZkY2EwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_.jpg', 'width': 675}",tt1025100,Gemini Man,feature,movie,4840.0,"Will Smith, Mary Elizabeth Winstead",2019.0,,"Action, Sci-Fi, Thriller",Will Smith, Mary Elizabeth Winstead
2047,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNWMxOTMwMzktYjcyZS00MGY4LWJkYjMtYmViYzRkZTgwZDIxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg', 'width': 2025}",tt5795086,Gemini,feature,movie,24009.0,"Lola Kirke, Zoë Kravitz",2017.0,,"Crime, Drama, Mystery, Thriller",Lola Kirke, Zoë Kravitz
2048,"{'height': 1200, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmY2NWYyYjctZDRlYy00YjM2LWE3OWQtOTY2YWYwNjJjZmM3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg', 'width': 833}",tt0210302,Gemini,feature,movie,62681.0,"Masahiro Motoki, Ryô",1999.0,,"Drama, Fantasy, Horror, Mystery, Thriller",Masahiro Motoki, Ryô
2049,"{'height': 1200, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWFlMTMyZjctNTcyYi00ODM2LWE1NDYtZWMyODI0MTNkMDc0XkEyXkFqcGdeQXVyNjMzNjY2NjQ@._V1_.jpg', 'width': 812}",tt5656994,Project 'Gemini',feature,movie,24751.0,"Egor Koreshkov, Alyona Konstantinova",2022.0,,"Adventure, Sci-Fi, Thriller",Egor Koreshkov, Alyona Konstantinova
2051,"{'height': 600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOTU5NDBhMDYtMTA2My00NGFjLWE3ZGYtYmQxYmM3MWFhMjNkXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg', 'width': 465}",tt0073994,Gemini Man,TV series,tvSeries,45513.0,"Ben Murphy, Katherine Crawford",1976.0,1976-1976,"Action, Adventure, Sci-Fi",Ben Murphy, Katherine Crawford
2053,"{'height': 1147, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOTgyMWVkOTktOGVjOS00ODFhLTk5NTctMjc1MTY0OGY1NmY2XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_.jpg', 'width': 780}",tt1261559,Gemini Division,TV series,tvSeries,60059.0,"Rosario Dawson, Justin Hartley",2008.0,2008-2008,Sci-Fi,Rosario Dawson, Justin Hartley
2055,"{'height': 900, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOTM0NWU4MWItYmVkYi00ODliLWI2YmItZDhjYjQyYzE1ZjUzXkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_.jpg', 'width': 624}",tt1830477,Ala Modalaindi,feature,movie,81188.0,"Nani, Nithya Menen",2011.0,,"Comedy, Drama, Romance",Nani, Nithya Menen
2056,,tt12968434,Ala Modalaindi,short,short,1421753.0,,2019.0,,"Short, Romance",,
2057,,tt28074504,Ala Modalaindi,TV special,tvSpecial,2100834.0,Vennela Kishore,2023.0,,Talk-Show,Vennela Kishore,
2058,,tt0393490,Wide Brimmed Hats Are Fashionable,short,short,1801108.0,Ernesto Vaser,1912.0,,Short,Ernesto Vaser,
2059,"{'height': 3250, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmQ1MjRmZGQtYTE1ZS00Njg4LWE4OWUtZTY2MTAwNzc3MGJlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg', 'width': 2147}",tt0053580,The Alamo,feature,movie,6706.0,"John Wayne, Richard Widmark",1960.0,,"Adventure, Drama, History, War, Western",John Wayne, Richard Widmark
2060,"{'height': 705, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTAzOTQ5Nzg4MzheQTJeQWpwZ15BbWU2MDQwODAxNw@@._V1_.jpg', 'width': 476}",tt0318974,The Alamo,feature,movie,9417.0,"Dennis Quaid, Billy Bob Thornton",2004.0,,"Drama, History, War, Western",Dennis Quaid, Billy Bob Thornton
2062,"{'height': 2880, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjcxOTJhZTEtMWFiYi00NTkwLTlkMzktZDQwMGQ0ZjM3YWU2XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_.jpg', 'width': 1945}",tt7985704,Operation Fortune: Ruse de Guerre,feature,movie,835.0,"Jason Statham, Aubrey Plaza",2023.0,,"Action, Comedy, Thriller",Jason Statham, Aubrey Plaza
2063,"{'height': 2320, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGZlNjZhNjgtMjQzZC00MDI0LWFmNGQtNmNiYTIyYTE3ODhkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg', 'width': 1575}",tt1879016,Operation Mincemeat,feature,movie,2655.0,"Colin Firth, Matthew Macfadyen",2021.0,,"Drama, War",Colin Firth, Matthew Macfadyen
2064,"{'height': 2248, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNWU4N2I5MGYtMTJlNy00YzViLWFmZWMtOTg4MDk4OWNiMzBjXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_.jpg', 'width': 1611}",tt13429928,Operation Seawolf,feature,movie,6012.0,"Hiram A. Murray, Andrew Stecker",2022.0,,"Action, Adventure, History, Mystery, Thriller, War",Hiram A. Murray, Andrew Stecker
2065,"{'height': 4000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWIwYzQ2Y2YtOTcxMy00MjA1LWFlYzEtM2ExZjJjODA1YzY0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_.jpg', 'width': 2701}",tt15485390,Operation Napoleon,feature,movie,6653.0,"Vivian Ólafsdóttir, Jack Fox",2023.0,,"Action, Adventure, Thriller",Vivian Ólafsdóttir, Jack Fox
2066,"{'height': 12000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzE1YjI2MjctZTY2Zi00NDBhLWIzYmMtNzMzMDgwZjE4MzUxXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_.jpg', 'width': 8100}",tt5208252,Operation Finale,feature,movie,7003.0,"Oscar Isaac, Ben Kingsley",2018.0,,"Biography, Drama, History, Thriller, War",Oscar Isaac, Ben Kingsley
2067,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BY2MzYmMwYzEtMDNmNi00YzFhLThjNDQtN2ZkNDU0OGVjNWNhXkEyXkFqcGdeQXVyNDM5NjAyNA@@._V1_.jpg', 'width': 2048}",tt16450020,Operation Dagon,feature,movie,8169.0,"Cynthia Rothrock, Federico Castelluccio",2024.0,,"Action, Adventure, Fantasy, Romance, Sci-Fi",Cynthia Rothrock, Federico Castelluccio
